_id,DC Code,DC Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
87,95II,Castlereagh,2013,99,4,95,6190.8000000000001818989403545856475830078125,105.85,660,4839.3000000000001818989403545856475830078125,10102,5249,676,0,135,74,41,131,307,64,12,5,18
88,95JJ,Coleraine,2013,668,287,381,34998.5999999999985448084771633148193359375,88.19,2851.90000000000009094947017729282379150390625,31490.29999999999927240423858165740966796875,59678,60552,4709,616085,834,548,221,354,1409,441,110,41,76
89,95KK,Cookstown,2013,1237,755,482,40807.199999999997089616954326629638671875,72.71,1095.09999999999990905052982270717620849609375,39170.0999999999985448084771633148193359375,82670,50749,70633,1875087,1479,793,312,564,2355,962,124,79,72
90,95LL,Craigavon,2013,561,236,325,18980.79999999999927240423858165740966796875,85.82,2178.3000000000001818989403545856475830078125,16474.79999999999927240423858165740966796875,41991,6964,7369,467046,678,361,166,481,1325,409,59,39,54
91,95MM,Derry,2013,445,364,81,25690.20000000000072759576141834259033203125,55.29,2006.59999999999990905052982270717620849609375,23226.20000000000072759576141834259033203125,26297,86610,883,19526,529,335,115,272,916,321,83,15,26
92,95NN,Down,2013,1136,655,481,47973.199999999997089616954326629638671875,57.27,4153.8000000000001818989403545856475830078125,43140.800000000002910383045673370361328125,75443,102460,27713,312666,1358,753,329,629,2316,855,161,56,64
93,95OO,Dungannon,2013,1713,1273,440,55349.4000000000014551915228366851806640625,87.51,838.2,53800.5999999999985448084771633148193359375,113739,38646,87110,5463017,1979,1023,370,725,3074,1311,219,87,96
96,95RR,Limavady,2013,601,414,187,38453.0999999999985448084771633148193359375,58.64,4121.600000000000363797880709171295166015625,33606.5,36525,118268,236,159754,731,450,160,316,1207,420,104,37,40
97,95SS,Lisburn,2013,756,283,473,29463.79999999999927240423858165740966796875,70.9,4045.1999999999998181010596454143524169921875,25140.4000000000014551915228366851806640625,51592,30943,17182,425114,922,491,235,429,1586,563,88,40,65
98,95TT,Magherafelt,2013,1226,888,338,47266.199999999997089616954326629638671875,45.56,2218,44204.0999999999985448084771633148193359375,67430,113005,26336,198174,1442,756,278,545,2265,970,154,58,44
99,95UU,Moyle,2013,552,510,42,38280.4000000000014551915228366851806640625,63.39,1210,36487.300000000002910383045673370361328125,33608,158216,2758,283061,677,452,162,336,1175,369,96,41,46
100,95VV,Newry & Mourne,2013,2410,1989,421,58664,40.44,2352,55831.300000000002910383045673370361328125,117535,142686,23514,705522,2791,1298,523,860,4174,2068,203,55,84
101,95WW,Newtownabbey,2013,224,118,106,9283.70000000000072759576141834259033203125,81.55,545.6,8674.100000000000363797880709171295166015625,18729,12202,15873,23739,278,152,67,173,518,161,30,10,23
102,95XX,North Down,2013,67,1,66,3612.90000000000009094947017729282379150390625,93.5,491,2516.90000000000009094947017729282379150390625,6437,2580,12,0,81,53,13,41,135,46,5,7,9
103,95YY,Omagh,2013,2054,1940,114,84284.5,51.8,636.9,81671,121271,139994,35073,1189219,2383,1344,443,835,3661,1660,228,83,83
104,95ZZ,Strabane,2013,1235,1024,211,69219.5,69.35,2354.1999999999998181010596454143524169921875,64277.0999999999985448084771633148193359375,83059,195259,28658,431846,1476,910,281,643,2400,892,177,72,94
105,95AA,Antrim,2014,641,345,296,32381.79999999999927240423858165740966796875,95.9,1243.90000000000009094947017729282379150390625,30288.29999999999927240423858165740966796875,59625,49585,4759,1124988,774,486,197,371,1342,432,110,40,59
106,95BB,Ards,2014,621,68,553,28861.20000000000072759576141834259033203125,118.26,6217.3000000000001818989403545856475830078125,22023.9000000000014551915228366851806640625,56477,37415,14599,181612,807,508,217,561,1585,384,98,37,102
107,95CC,Armagh,2014,1736,902,834,52271.5,95.14,4021.09999999999990905052982270717620849609375,47437.300000000002910383045673370361328125,120517,62955,112104,2006280,2083,1134,437,1372,3892,1297,213,87,139
108,95DD,Ballymena,2014,1132,753,379,46178.199999999997089616954326629638671875,91.92,929.1,44630.0999999999985448084771633148193359375,78176,115931,4334,2611658,1389,823,357,511,2257,815,151,81,85
