_id,Ward1992 Code,Ward1992 Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour
2644,95NN10,Donard,2014,5,5,0,60,12,0,59,44,538,0,0,5,2,2,1,8
2645,95NN11,Drumaness,2014,78,70,8,2100,32,25,2060,3688,2509,0,0,95,44,24,39,158
2646,95NN12,Dundrum,2014,55,3,52,1806,51,228,1555,3236,3818,98,13,64,40,17,37,118
2647,95NN13,Dunmore,2014,114,100,14,3646,44,39,3556,6170,14804,622,39,133,78,26,56,215
2648,95NN14,Killough,2014,82,3,79,4638,91,713,3848,7554,14333,4351,34,97,67,29,48,174
2649,95NN15,Killyleagh,2014,6,1,5,164,375,3,140,220,287,9266,0,7,1,2,3,12
2650,95NN16,Kilmore,2014,125,106,19,8478,73,95,8281,7769,5689,2146,115,144,62,46,67,257
2651,95NN17,Murlough,2014,16,4,12,888,152,217,666,1867,491,0,51,22,15,5,19,46
2652,95NN18,Quoile,2014,7,1,6,353,81,9,342,791,212,0,0,10,5,1,5,16
2653,95NN19,Saintfield,2014,30,13,17,1332,80,57,1190,2373,1883,3,0,34,17,11,16,61
2654,95NN20,Seaforde,2014,125,39,86,4634,56,566,4017,7753,10720,60,18,146,87,31,71,248
2655,95NN21,Shimna,2014,6,4,2,135,26,3,130,320,0,0,0,7,2,1,2,10
2656,95NN22,Strangford,2014,86,33,53,4260,81,551,3628,8732,4509,3,0,113,78,21,61,195
2657,95NN23,Tollymore,2014,140,129,11,4889,36,134,4734,5319,23338,1291,0,170,82,28,58,256
2658,95OO01,Altmore,2014,194,187,7,4865,69,33,4759,9160,3681,5201,569,219,109,34,48,301
2659,95OO02,Augher,2014,162,158,4,5426,124,10,5371,11130,3412,6655,879,192,109,43,79,314
2660,95OO03,Aughnacloy,2014,156,152,4,6572,103,16,6519,10042,8092,44,364,176,89,41,60,277
2661,95OO04,Ballygawley,2014,139,138,1,4465,65,9,4384,8972,3066,0,218,154,88,28,47,229
2662,95OO05,Ballysaggart,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2663,95OO06,Benburb,2014,119,22,97,3949,148,203,3709,8687,1562,190,767,142,81,17,97,256
2664,95OO07,Caledon,2014,176,132,44,6664,137,200,6240,15598,7692,7797,906,219,123,46,90,355
2665,95OO08,Castlecaulfield,2014,92,76,16,2344,108,58,2275,5244,2257,8644,402,104,49,26,46,176
2666,95OO09,Clogher,2014,175,142,33,6643,73,15,6549,12699,5354,0,310,198,115,33,50,281
2667,95OO10,Coalisland North,2014,25,7,18,512,35,19,486,1168,4,0,5,29,11,9,6,44
2668,95OO11,Coalisland South,2014,13,2,11,234,17,4,227,361,170,0,0,19,4,5,11,35
2669,95OO12,Coalisland West and Newmills,2014,19,3,16,319,40,0,315,590,242,0,14,20,5,4,4,28
2670,95OO13,Coolhill,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2671,95OO14,Donaghmore DUNGANNON,2014,77,11,66,2437,181,106,2310,6467,715,0,838,88,47,12,29,129
2672,95OO15,Drumglass,2014,5,0,5,66,13,0,66,117,0,0,0,7,3,0,1,8
2673,95OO16,Fivemiletown,2014,92,73,19,3839,189,12,3789,6393,2994,56867,50,110,50,19,45,174
2674,95OO17,Killyman,2014,86,53,33,2000,76,102,1790,4553,1005,6156,108,103,46,17,56,176
2675,95OO18,Killymeal,2014,10,4,6,238,77,2,235,1017,0,0,0,10,2,2,6,18
2676,95OO19,Moy,2014,59,14,45,2708,102,140,2543,5967,862,0,134,76,50,15,39,130
2677,95OO20,Moygashel,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2678,95OO21,Mullaghmore,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2679,95OO22,Washing Bay,2014,73,56,17,1607,39,22,1558,3355,210,74,91,83,32,17,24,124
2680,95PP01,Ballinamallard,2014,96,95,1,3634,46,11,3567,5824,3830,0,0,109,63,31,42,182
2681,95PP02,Belcoo and Garrison,2014,247,245,2,10435,18,13,10242,7928,4273,11,0,281,106,64,61,406
2682,95PP03,Belleek and Boa,2014,176,175,1,7945,29,3,7765,7153,10909,91,16,191,92,36,60,287
2683,95PP04,"Boho, Cleenish and Letterbreen",2014,221,221,0,9027,29,18,8818,9052,5668,2,0,240,120,63,73,376
2684,95PP05,Brookeborough,2014,203,190,13,8118,58,20,7796,13698,4885,633,0,244,139,63,80,387
2685,95PP06,Castlecoole,2014,8,7,1,196,33,0,174,337,18,0,0,9,4,0,2,11
2686,95PP07,Derrygonelly,2014,183,183,0,8605,43,62,8381,9394,4893,8,33,212,126,40,65,317
2687,95PP08,Derrylin,2014,218,218,0,7394,39,4,7315,10685,4677,2,45,238,135,46,66,350
2688,95PP09,Devenish,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2689,95PP10,Donagh,2014,159,159,0,6103,89,0,6069,8671,2033,0,461,181,92,38,45,264
2690,95PP11,Erne,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2691,95PP12,Florence Court and Kinawley,2014,262,262,0,12750,33,6,12568,12602,16887,0,16,300,157,88,102,490
2692,95PP13,Irvinestown,2014,48,48,0,1426,27,0,1396,1583,1505,0,0,53,21,13,20,86
2693,95PP14,"Kesh, Ederney & Lack",2014,199,199,0,8134,31,8,8028,9399,13808,4,0,231,120,49,69,349
