WPC Code,WPC Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N06000016,Strangford,2012,868,225,643,"45,728.30",96.92,"6,917.50","37,024.60","76,074","58,387","26,128","182,331",1106,650,310,678,2094,562,126,60,120
N06000017,Upper Bann,2012,735,239,496,"25,005.60",77.80,"3,044.90","21,575.00","57,746","15,570","13,086","203,933",924,470,195,595,1714,541,82,42,70
N06000018,West Tyrone,2012,3218,2901,317,"150,656.00",59.98,"2,907.20","143,502.90","210,893","339,528","68,136","1,713,220",3811,2209,722,1494,6027,2476,401,167,174
N06000001,Belfast East,2013,3,3,3,3,124.00,303.00,"2,076.00","2,714","4,459",96,0,3,3,3,3,3,3,3,3,3
N06000002,Belfast North,2013,3,3,3,3,134.00,9.00,652.00,"1,154",607,0,15,3,3,3,3,3,3,3,3,3
N06000003,Belfast South,2013,3,3,3,3,121.00,154.00,"1,363.00","3,392","1,148","1,716",0,3,3,3,3,3,3,3,3,3
N06000004,Belfast West,2013,3,3,3,3,41.00,0.00,860.00,957,43,0,0,3,3,3,3,3,3,3,3,3
N06000005,East Antrim,2013,788,773,15,"45,706.00",50.00,356.00,"44,936.00","41,425","184,873","4,548",262,907,569,241,422,1570,584,122,35,47
N06000006,East Londonderry,2013,1544,966,578,"89,218.00",68.00,"7,140.00","80,413.00","108,883","245,802","5,738",795,1885,1189,447,826,3158,1074,264,83,123
N06000007,Fermanagh & South Tyrone,2013,4314,3981,333,"166,857.00",53.00,917.00,"163,330.00","248,507","136,918","83,706","4,520",4930,2633,1064,1666,7660,3525,488,159,142
N06000008,Foyle,2013,170,99,71,"9,924.00",80.00,"1,840.00","7,910.00","13,617","19,628",90,0,209,144,49,116,374,108,33,10,19
N06000009,Lagan Valley,2013,867,250,617,"33,137.00",75.00,"4,866.00","27,964.00","63,082","44,881","17,218",618,1070,578,281,469,1820,625,116,46,80
N06000010,Mid Ulster,2013,2859,1908,951,"98,102.00",61.00,"3,480.00","93,098.00","172,016","168,336","101,927","3,492",3368,1752,666,1250,5284,2267,308,150,134
N06000011,Newry & Armagh,2013,3017,2097,920,"81,546.00",61.00,"4,700.00","75,836.00","186,638","85,837","75,843","2,149",3483,1718,664,1629,5776,2432,304,102,179
N06000012,North Antrim,2013,2187,1410,777,"104,645.00",84.00,"3,981.00","99,015.00","164,461","283,440","21,950","3,413",2702,1672,671,1044,4417,1500,335,164,188
N06000013,North Down,2013,122,3,121,"5,738.00",89.00,788.00,"4,248.00","11,048","3,346",13,6,148,86,31,73,252,86,12,7,17
N06000014,South Antrim,2013,1032,619,413,"48,140.00",75.00,"2,157.00","45,052.00","88,094","64,883","27,372",972,1229,736,309,608,2146,728,152,60,92
N06000015,South Down,2013,2604,1547,1057,"86,575.00",49.00,"7,810.00","77,917.00","145,067","251,124","32,209",792,3097,1680,691,1282,5070,2064,307,101,132
N06000016,Strangford,2013,881,229,652,"43,062.00",100.00,"7,145.00","35,110.00","75,052","56,202","35,549",251,1118,671,317,687,2122,574,125,60,122
