Ward2014 Code,Ward2014 Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  
N08000401,Aghadowey,2015,158,51,107,8441,98,407,7768,15354,16181,323,108,207,140,50,85,342
N08000402,Altahullion,2015,98,59,39,5748,98,862,4835,7933,13644,96,154,123,67,29,46,198
N08000403,Atlantic,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000404,Ballycastle,2015,15,15,0,758,26,4,751,290,3617,0,0,16,3,3,8,28
N08000405,Ballykelly,2015,65,37,28,3598,79,1077,2449,3895,6439,324,1,82,46,10,39,131
N08000406,Ballymoney East,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000407,Ballymoney North,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000408,Ballymoney South,2015,13,3,10,492,102,14,452,986,242,0,18,16,8,3,3,21
N08000409,Castlerock,2015,17,3,16,911,119,70,827,2119,382,0,0,23,13,3,13,37
N08000410,Churchland,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000411,Clogh Mills,2015,112,71,41,5762,150,177,5484,8706,8424,11827,443,142,94,32,59,233
N08000412,Coolessan,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000413,Dervock,2015,87,3,83,4811,144,546,4171,9630,7443,944,167,117,84,30,66,213
N08000414,Drumsurn,2015,57,20,37,3332,85,273,3011,4925,11314,0,0,73,49,12,32,117
N08000415,Dundooan,2015,112,14,98,6277,161,898,5281,15860,4970,0,45,155,116,45,86,286
N08000416,Dungiven,2015,86,79,7,7179,59,12,7061,3304,27486,0,36,109,62,24,47,180
N08000417,Dunloy,2015,107,61,46,4947,92,182,4718,8851,14073,445,73,139,77,27,56,222
N08000418,Feeny,2015,103,93,10,7515,44,78,7336,3855,30077,0,0,119,66,30,41,190
N08000419,Garvagh,2015,146,116,30,6897,46,203,6614,7150,16458,16,81,176,102,45,55,276
N08000420,Giant's Causeway,2015,130,98,32,7046,121,559,6265,14388,12753,3260,73,177,121,37,74,288
N08000421,Greysteel,2015,64,46,18,2469,38,348,2071,2921,4777,0,0,74,40,10,12,96
N08000422,Greystone (Causeway Coast and Glens),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000423,Hopefield,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000424,Kilrea,2015,106,33,73,3812,61,138,3602,7807,8062,2237,14,131,67,32,45,208
N08000425,Kinbane,2015,125,117,8,6286,85,265,5912,10139,26675,0,79,161,103,28,62,251
N08000426,Loughguile and Stranocum,2015,155,101,54,8284,118,349,7839,12430,29958,40,259,209,134,37,49,295
N08000427,Lurigethan,2015,82,80,3,5375,51,119,5234,1431,24551,10,117,91,37,17,40,148
N08000428,Macosquin,2015,111,58,53,5759,91,351,5368,9250,16990,2844,35,147,100,30,38,215
N08000429,Magilligan,2015,129,81,48,8314,73,1361,6713,10215,25766,11,0,160,103,29,88,277
N08000430,Mountsandel,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000431,Portrush and Dunluce,2015,17,13,3,1653,196,130,1517,3214,1719,0,0,25,17,7,10,42
N08000432,Portstewart,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000433,Quarry,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000434,Rasharkin,2015,128,67,61,4888,100,235,4608,10477,6643,127,156,159,89,36,61,256
N08000435,Roeside,2015,7,3,3,176,37,9,167,246,600,0,0,8,3,3,3,11
N08000436,Route,2015,45,6,39,1962,117,74,1832,4133,1830,669,117,53,36,14,25,92
N08000437,Torr Head and Rathlin,2015,217,213,3,18293,46,57,17894,7894,86492,22,11,271,171,64,105,440
N08000438,University,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000439,Waterside,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000440,Windy Hall,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000501,Artigarvan,2015,70,48,22,4372,86,133,4172,6190,11755,14,0,87,57,30,38,155
N08000502,Ballycolman,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000503,Ballymagroarty,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000504,Brandywell,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000505,Carn Hill,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000506,Castlederg,2015,56,52,3,2113,66,34,2065,3937,6773,23,0,70,38,13,25,108
N08000507,Caw,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000508,City Walls,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000509,Claudy,2015,95,88,7,4860,36,92,4583,4086,14736,39,0,113,67,22,36,171
N08000510,Clondermot,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000511,Creggan,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000512,Creggan South,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000513,Culmore,2015,8,3,6,619,101,215,382,580,611,0,0,9,6,3,5,15
N08000514,Drumahoe,2015,9,5,3,338,18,9,327,129,1011,0,0,9,5,0,3,11
N08000515,Dunnamanagh,2015,226,208,18,12694,62,309,12133,13755,42070,158,57,262,151,44,90,396
N08000516,Ebrington,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000517,Eglinton,2015,18,14,3,643,89,31,573,651,1823,0,0,20,12,3,13,34
N08000518,Enagh,2015,45,5,40,2965,121,934,1987,4047,3363,0,0,58,41,13,31,102
N08000519,Finn,2015,73,48,25,4000,130,213,3680,6286,5032,8865,50,92,65,20,36,148
N08000520,Foyle Springs,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000521,Galliagh,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000522,Glenderg,2015,312,292,20,13482,60,68,13302,13481,51790,16195,51,361,207,56,117,534
N08000523,Glenelly Valley,2015,313,282,31,17788,49,337,17230,13285,62803,942,46,372,218,59,116,547
N08000524,Kilfennan,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000525,Lisnagelvin,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000526,Madam's Bank,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000527,New Buildings,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000528,Newtownstewart,2015,125,78,47,9353,146,427,7378,13774,13792,2404,43,159,103,30,105,294
N08000529,Northland,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000530,Park (Derry City and Strabane),2015,192,186,6,10921,52,119,10647,8316,50210,870,20,228,131,49,97,374
N08000531,Shantallow,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000532,Shantallow East,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000533,Sheriff's Mountain,2015,21,13,8,1244,118,277,946,1894,1474,0,0,29,17,7,17,53
N08000534,Sion Mills,2015,41,16,25,1855,161,183,1635,4706,811,0,66,58,43,14,32,104
N08000535,Skeoge,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000536,Slievekirk,2015,99,61,38,6373,131,566,5707,12617,16475,87,97,129,90,32,73,234
N08000537,Springtown,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000538,Strabane North,2015,9,6,3,281,23,0,277,336,556,0,0,9,7,3,8,20
N08000539,Strabane West,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000540,Victoria (Derry City and Strabane),2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000601,Ballinamallard,2015,90,89,3,3474,49,10,3408,5696,3916,0,0,101,59,25,43,169
