Ward2014 Code,Ward2014 Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  
N08000302,Ardoyne,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000303,Ballygomartin,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000304,Ballymacarrett,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000305,Ballymurphy,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000306,Ballysillan,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000307,Beechmount,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000308,Beersbridge,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000309,Bellevue,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000310,Belmont,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000311,Belvoir,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000312,Blackstaff,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000313,Bloomfield (Belfast),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000314,Cavehill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000315,Central,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000316,Chichester Park,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000317,Cliftonville,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000318,Clonard,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000319,Collin Glen,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000320,Connswater,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000321,Cregagh,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000322,Duncairn,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000323,Dunmurry,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000324,Falls,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000325,Falls Park,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000326,Finaghy,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000327,Forth River,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000328,Fortwilliam,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000329,Garnerville,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000330,Gilnahirk,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000331,Hillfoot,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000332,Innisfayle,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000333,Knock,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000334,Ladybrook,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000335,Lagmore,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000336,Legoniel,2016,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3
N08000337,Malone,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000338,Merok,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000339,Musgrave,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000340,New Lodge,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000341,Orangefield,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000342,Ormeau,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000343,Poleglass,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000344,Ravenhill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000345,Rosetta,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000346,Sandown,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000347,Shandon,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000348,Shankill (Belfast),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000349,Shaw's Road,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000350,Stewartstown (Belfast),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000351,Stormont,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000352,Stranmillis,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000353,Sydenham,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000354,Turf Lodge,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000355,Twinbrook,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000356,Upper Malone,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000357,Water Works,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000358,Windsor,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000359,Woodstock,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000360,Woodvale,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000401,Aghadowey,2016,162,53,109,8360,106,403,7704,15766,16803,1282,250,203,138,58,86,347
N08000402,Altahullion,2016,100,60,40,5832,94,863,4898,8345,12499,73,69,125,74,32,40,197
N08000403,Atlantic,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000404,Ballycastle,2016,16,16,0,748,35,5,739,345,5387,0,1,17,8,3,3,22
N08000405,Ballykelly,2016,64,38,26,3695,84,973,2641,4178,6202,327,1,84,41,17,41,142
N08000406,Ballymoney East,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000407,Ballymoney North,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000408,Ballymoney South,2016,11,3,8,481,126,14,432,1035,160,0,18,14,9,0,5,19
N08000409,Castlerock,2016,15,3,14,900,151,79,813,2208,402,0,0,21,13,3,11,34
N08000410,Churchland,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000411,Clogh Mills,2016,111,74,37,5731,168,180,5428,9016,8018,12212,588,144,89,35,54,233
N08000412,Coolessan,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000413,Dervock,2016,88,6,82,5147,151,648,4425,9599,8229,966,175,114,81,28,66,208
N08000414,Drumsurn,2016,53,18,35,3240,90,243,2956,4763,11266,0,0,65,42,13,24,102
N08000415,Dundooan,2016,110,15,95,6255,167,868,5290,15979,5328,0,53,160,114,39,88,287
N08000416,Dungiven,2016,87,80,7,7150,59,9,7060,3349,27152,0,36,108,61,27,50,185
N08000417,Dunloy,2016,106,58,48,5321,94,207,4921,8920,13428,593,71,138,83,30,54,222
N08000418,Feeny,2016,104,92,12,7519,45,81,7338,4081,31332,0,0,120,66,34,49,203
N08000419,Garvagh,2016,140,114,26,6983,49,206,6725,6891,16747,14,128,172,94,43,49,264
N08000420,Giant's Causeway,2016,125,95,30,7161,138,605,6358,14197,13411,1930,173,168,122,41,71,280
N08000421,Greysteel,2016,68,51,17,2405,35,340,2013,3010,5978,0,0,74,41,8,13,95
N08000422,Greystone (Causeway Coast and Glens),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000423,Hopefield,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000424,Kilrea,2016,108,37,71,4202,68,146,3969,7798,8229,2766,44,133,71,40,39,212
N08000425,Kinbane,2016,123,117,6,6256,86,290,5904,10250,23769,35,54,152,98,32,61,245
N08000426,Loughguile and Stranocum,2016,158,101,57,7794,121,382,7312,12607,29972,68,267,213,134,46,50,309
N08000427,Lurigethan,2016,88,84,3,5490,44,84,5383,1444,26209,11,124,100,44,19,37,156
N08000428,Macosquin,2016,108,55,53,6063,92,407,5614,9257,16550,2550,35,140,89,38,42,220
N08000429,Magilligan,2016,130,80,50,8227,73,1365,6648,10212,24951,43,1,157,94,35,60,252
N08000430,Mountsandel,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000431,Portrush and Dunluce,2016,16,15,3,1638,204,145,1486,3241,1596,0,0,21,17,10,8,39
N08000432,Portstewart,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000433,Quarry,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000434,Rasharkin,2016,124,66,58,4812,97,241,4510,10354,7122,84,164,157,90,42,78,277
N08000435,Roeside,2016,5,3,3,109,45,9,94,186,173,0,0,5,3,3,3,7
N08000436,Route,2016,45,7,38,2100,111,54,1999,4269,2469,930,113,58,36,14,28,100
N08000437,Torr Head and Rathlin,2016,220,216,3,18543,45,51,18190,7979,85214,14,0,267,170,64,110,441
N08000438,University,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000439,Waterside,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000440,Windy Hall,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000501,Artigarvan,2016,75,53,22,4694,82,138,4472,6609,13636,43,0,94,58,29,46,169
N08000502,Ballycolman,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000503,Ballymagroarty,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000504,Brandywell,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000505,Carn Hill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000506,Castlederg,2016,58,52,6,2309,70,32,2250,4356,6775,50,0,69,35,12,22,103
N08000507,Caw,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000508,City Walls,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000509,Claudy,2016,103,96,7,5150,35,120,4825,4555,14873,34,0,122,66,25,50,197
N08000510,Clondermot,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000511,Creggan,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000512,Creggan South,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000513,Culmore,2016,8,3,7,628,105,215,392,602,741,0,0,9,6,3,5,15
N08000514,Drumahoe,2016,9,5,3,286,18,9,275,135,1001,0,0,9,5,3,3,14
N08000515,Dunnamanagh,2016,223,206,17,13126,65,273,12606,14213,43380,319,38,263,156,48,104,415
N08000516,Ebrington,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000517,Eglinton,2016,17,13,3,647,113,30,594,709,1887,0,0,21,11,3,10,32
N08000518,Enagh,2016,43,3,40,2974,125,922,2016,4195,3595,0,0,57,43,17,31,105
N08000519,Finn,2016,72,46,26,4024,135,217,3716,6447,5589,7763,75,96,62,16,36,148
N08000520,Foyle Springs,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000521,Galliagh,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000522,Glenderg,2016,314,295,19,13631,59,47,13470,14318,50710,15241,51,360,193,63,125,548
N08000523,Glenelly Valley,2016,307,275,32,17379,51,310,16817,13705,61595,863,74,369,206,73,129,571
N08000524,Kilfennan,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000525,Lisnagelvin,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000526,Madam's Bank,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000527,New Buildings,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000528,Newtownstewart,2016,124,76,48,9031,165,461,7004,14552,13181,1783,128,156,101,38,95,289
N08000529,Northland,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000530,Park (Derry City and Strabane),2016,200,195,5,11200,52,79,10973,9049,53616,901,11,236,120,52,99,387
N08000531,Shantallow,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000532,Shantallow East,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000533,Sheriff's Mountain,2016,21,12,9,1253,101,273,942,1888,1547,0,0,24,15,11,16,51
N08000534,Sion Mills,2016,42,18,24,1816,159,166,1613,4784,906,0,78,59,47,11,29,99
N08000535,Skeoge,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000536,Slievekirk,2016,96,60,36,6471,126,596,5769,13033,16575,70,0,124,85,25,71,220
N08000537,Springtown,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000538,Strabane North,2016,10,6,3,320,24,0,316,409,546,0,0,10,8,3,9,22
N08000539,Strabane West,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000540,Victoria (Derry City and Strabane),2016,5,5,0,211,125,18,193,637,380,0,0,8,6,3,3,12
N08000601,Ballinamallard,2016,92,91,3,3474,49,10,3417,6110,4305,0,0,103,54,26,39,168
N08000602,Belcoo and Garrison,2016,250,249,3,11035,20,1,10814,8869,4360,5,0,292,128,54,52,398
N08000603,Belleek and Boa,2016,230,226,3,9933,28,0,9707,8841,15865,24,16,258,117,46,58,362
N08000604,Beragh,2016,130,85,45,5822,103,85,5515,12316,9205,23,180,164,99,34,50,248
N08000605,"Boho,Cleenish and Letterbreen",2016,219,217,3,8892,32,16,8698,9817,7598,0,16,248,123,60,57,365
N08000606,Brookeborough,2016,189,183,6,7438,68,16,7149,13918,5332,1766,18,236,129,54,60,350
N08000607,Camowen,2016,13,7,6,752,98,8,720,1419,373,0,0,15,8,3,12,29
N08000608,Castlecoole,2016,8,8,0,368,29,12,201,347,57,0,0,8,3,3,3,11
N08000609,Coolnagard,2016,5,5,0,229,14,0,229,65,617,0,0,5,3,0,0,5
N08000610,Dergmoney,2016,5,3,3,106,114,0,104,92,381,0,59,5,3,3,3,8
N08000611,Derrygonnelly,2016,188,187,3,9331,45,71,9061,10779,5849,0,16,225,139,44,44,313
N08000612,Derrylin,2016,208,207,3,7244,43,20,7171,12301,7460,0,42,233,138,50,47,330
N08000613,Donagh,2016,160,158,3,6727,101,0,6699,11097,2768,0,519,185,96,37,55,277
N08000614,Dromore (Fermanagh and Omagh),2016,92,91,3,3799,64,30,3718,6233,5526,70,0,114,57,12,50,176
N08000615,Drumnakilly,2016,92,90,3,3333,45,0,3243,4435,6004,4051,0,104,53,21,36,161
N08000616,Drumquin,2016,234,230,3,10262,40,27,9987,9864,20998,1820,59,269,133,43,69,381
N08000617,Ederney and Kesh,2016,127,125,3,5448,34,0,5375,6993,8441,0,0,149,80,30,42,221
N08000618,Erne,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000619,Fairy Water,2016,190,174,16,9694,101,190,9103,17349,15930,7360,79,253,160,58,88,399
N08000620,Fintona,2016,125,123,3,4463,95,2,4427,8705,7726,14596,35,146,91,31,42,219
N08000621,Florence Court and Kinawley,2016,267,263,3,12434,38,6,12249,13416,19794,0,45,324,164,75,81,480
N08000622,Gortin,2016,119,106,13,6532,105,40,6368,10350,20900,2906,129,148,92,30,69,247
N08000623,Gortrush,2016,7,3,3,404,62,13,325,281,1089,0,0,9,3,3,3,14
N08000624,Irvinestown,2016,104,101,3,3426,41,8,3361,5129,4407,0,17,129,54,25,37,191
N08000625,Killyclogher,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000626,Lisbellaw,2016,107,104,3,4255,72,9,4158,8290,2407,0,0,125,70,30,50,205
N08000627,Lisnarrick,2016,80,80,0,4025,61,0,3870,6153,6471,6,0,98,54,16,37,151
N08000628,Lisnaskea,2016,16,15,3,368,14,0,363,410,245,0,0,16,5,3,3,21
N08000629,Maguiresbridge,2016,176,174,3,6782,64,11,6707,12522,10664,0,3,207,113,48,75,330
N08000630,Newtownbutler,2016,150,146,3,6206,74,35,6051,10501,4200,0,203,175,94,45,53,273
N08000631,Newtownsaville,2016,203,191,12,7283,83,32,7051,15164,13824,5367,290,249,166,52,82,383
N08000632,Owenkillew,2016,252,250,3,11140,28,31,10912,8132,30933,0,34,288,143,57,63,408
N08000633,Portora,2016,6,6,0,602,20,0,602,176,243,0,0,6,3,3,3,8
N08000634,Rosslea,2016,203,202,3,6037,37,12,5961,9430,4376,0,58,241,116,51,34,326
N08000635,Rossorry,2016,15,15,0,382,15,0,380,400,470,0,0,16,7,5,3,23
N08000636,Sixmilecross,2016,189,185,3,7555,61,3,7447,12791,13018,1266,125,218,125,38,48,304
N08000637,Strule,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000638,Tempo,2016,178,176,3,7257,38,16,7075,9593,6492,199,13,218,106,46,43,307
N08000639,Termon,2016,186,184,3,6153,36,19,5943,7828,4002,0,220,209,97,23,42,274
N08000640,Trillick,2016,210,206,3,7141,49,5,7029,11317,8476,14,1,246,135,40,69,355
N08000701,Ballinderry,2016,59,9,50,2298,73,338,1928,3813,2834,0,98,73,39,20,43,136
N08000702,Ballyhanwood,2016,18,0,18,813,132,115,696,1344,909,5,0,29,22,5,38,72
N08000703,Ballymacash,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000704,Ballymacbrennan,2016,84,25,59,3168,66,275,2850,5488,7176,0,21,100,48,24,27,151
N08000705,Ballymacoss,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000706,Beechill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000707,Blaris,2016,13,0,13,551,79,276,267,327,49,0,0,17,8,3,5,25
N08000708,Cairnshill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000709,Carrowreagh,2016,5,3,3,1892,294,215,962,757,1769,0,0,7,3,3,20,28
N08000710,Carryduff East,2016,22,0,22,839,79,47,781,1696,204,0,0,29,16,10,18,57
N08000711,Carryduff West,2016,5,0,5,261,153,30,231,1032,346,0,0,10,5,3,3,13
N08000712,Derryaghy,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000713,Dromara,2016,96,73,23,3608,78,105,3464,7589,9893,1300,0,120,68,35,40,195
N08000714,Drumbo,2016,40,3,39,1571,115,173,1381,4397,330,0,0,48,29,18,21,87
N08000715,Dundonald,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000716,Enler,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000717,Galwally,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000718,Glenavy,2016,63,54,9,2144,63,353,1780,3935,473,5,6,74,40,14,29,117
N08000719,Graham's Bridge,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000720,Harmony Hill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000721,Hilden,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000722,Hillhall,2016,9,0,9,427,116,98,329,630,140,1525,0,14,8,3,3,20
N08000723,Hillsborough,2016,37,0,37,1268,86,104,1157,2761,579,2386,0,47,22,10,16,73
N08000724,Knockbracken,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000725,Knockmore,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000726,Lagan,2016,64,3,63,3235,144,1045,2160,6369,2541,0,219,85,51,22,41,148
N08000727,Lagan Valley,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000728,Lambeg,2016,6,0,6,270,175,87,183,519,0,0,0,7,5,3,5,13
N08000729,Lisnagarvey,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000730,Maghaberry,2016,38,0,38,1621,98,318,1263,2309,2334,3903,68,47,31,10,10,67
N08000731,Magheralave,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000732,Maze,2016,15,0,15,795,131,235,537,1475,353,0,66,20,9,3,12,35
N08000733,Moira,2016,8,3,7,503,221,174,330,655,0,0,120,8,6,3,3,12
N08000734,Moneyreagh,2016,33,3,30,1590,119,217,1362,3958,774,0,0,45,30,11,20,76
N08000735,Newtownbreda,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000736,Old Warren,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000737,Ravernet,2016,70,0,70,2663,120,454,2083,4846,1331,8001,31,88,46,25,59,172
N08000738,Stonyford,2016,117,100,17,4868,48,117,4707,6960,4784,0,17,145,60,31,44,220
N08000739,Wallace Park,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000740,White Mountain,2016,11,9,3,382,47,3,373,655,57,0,0,13,5,6,12,31
N08000801,Academy,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000802,Ahoghill,2016,18,3,15,707,99,28,670,1922,1323,184,21,20,12,5,5,30
N08000803,Ardeevin,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000804,Ballee and Harryville,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000805,Ballycarry and Glynn,2016,59,59,0,3032,76,19,2944,5440,8813,160,0,72,46,24,27,123
N08000806,Ballykeel,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000807,Boneybefore,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000808,Braidwater,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000809,Broughshane,2016,30,12,18,1053,232,79,952,1963,2323,0,455,35,22,8,50,93
N08000810,Burleigh Hill,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000811,Cairncastle,2016,49,46,3,3096,60,0,3067,2282,17268,0,24,57,35,13,23,93
N08000812,Carnlough and Glenarm,2016,149,148,3,10579,49,22,10414,6854,39142,7,47,174,108,37,74,285
N08000813,Castle (Mid and East Antrim),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000814,Castle Demesne,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000815,Craigyhill,2016,6,5,3,159,78,1,157,366,186,0,0,7,5,3,8,17
N08000816,Cullybackey,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000817,Curran and Inver,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000818,Fair Green,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000819,Galgorm,2016,15,5,10,371,40,9,360,834,587,0,0,15,8,5,11,31
N08000820,Gardenmore,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000821,Glenravel,2016,168,141,27,7512,81,91,7356,9041,29134,567,353,193,113,40,63,296
N08000822,Glenwhirry,2016,184,150,34,8845,65,70,8656,11922,29115,1401,206,216,128,53,74,343
N08000823,Gortalee,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000824,Grange,2016,131,107,24,5256,106,106,5116,13588,5146,854,161,164,104,42,72,278
N08000825,Greenisland,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000826,Islandmagee,2016,49,43,6,1922,86,4,1910,3570,6469,35,15,58,27,19,26,103
N08000827,Kells,2016,41,26,15,1541,84,14,1526,2473,5448,0,121,50,24,10,16,76
N08000828,Kilroot,2016,14,14,0,833,65,0,758,986,3500,0,3,21,11,3,14,37
N08000829,Kilwaughter,2016,131,125,6,7865,106,49,7788,12361,27943,5378,82,164,97,42,55,261
N08000830,Kirkinriola,2016,127,15,112,5074,111,105,4901,11654,5960,515,184,174,114,43,51,268
N08000831,Love Lane,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000832,Maine,2016,126,84,42,4394,106,162,4107,10081,5861,34,325,169,84,34,44,247
N08000833,Park (Mid and East Antrim),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000834,Portglenone,2016,106,65,41,2925,66,165,2688,7246,2207,0,113,125,66,22,32,179
N08000835,Slemish,2016,228,190,38,13416,83,156,13041,15226,49955,0,343,284,173,80,98,462
N08000836,Sunnylands,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000837,The Maidens,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000838,Victoria (Mid and East Antrim),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000839,Whitehead South,2016,6,6,0,563,117,0,563,1102,831,0,1,9,6,3,3,13
N08000840,Woodburn,2016,96,93,3,2713,45,30,2649,3763,11476,1504,34,109,54,29,35,173
N08000901,Ardboe,2016,103,73,30,3425,92,166,3241,9192,971,1716,124,136,80,15,35,186
N08000902,Augher and Clogher,2016,209,200,9,6993,122,15,6886,14445,5782,6581,1253,252,146,47,94,393
N08000903,Aughnacloy,2016,179,173,6,5874,107,18,5818,12030,9884,291,372,220,108,56,59,335
N08000904,Ballygawley,2016,187,187,0,6216,64,13,6122,12241,5869,882,278,214,114,38,66,318
N08000905,Ballymaguigan,2016,69,32,37,2380,72,169,2189,6487,1687,1105,0,87,54,18,40,145
N08000906,Ballysaggart,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000907,Bellaghy,2016,120,114,6,3731,63,221,3467,7768,2138,6660,44,141,72,24,47,212
N08000908,Caledon,2016,223,140,83,7851,142,286,7276,18663,6166,9983,1152,278,159,63,135,476
N08000909,Castlecaulfield,2016,109,92,17,3080,92,31,3032,7187,3355,8361,264,133,71,30,33,196
N08000910,Castledawson,2016,71,41,30,2015,45,149,1804,3756,2906,124,13,84,43,14,38,136
N08000911,Coagh,2016,80,10,70,2730,156,180,2524,6844,1954,24851,63,95,54,22,39,156
N08000912,Coalisland North,2016,25,3,23,578,45,20,558,1357,357,0,0,31,11,5,3,40
N08000913,Coalisland South,2016,7,3,3,117,50,0,117,219,0,0,14,9,3,3,3,14
N08000914,Cookstown East,2016,17,5,12,357,56,24,331,779,589,0,14,17,8,3,5,25
N08000915,Cookstown South,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000916,Cookstown West,2016,7,3,6,200,49,0,200,418,28,0,0,8,3,3,3,12
N08000917,Coolshinny,2016,133,48,85,4547,72,379,4067,9378,8038,5700,26,160,90,39,61,260
N08000918,Donaghmore,2016,190,119,71,5544,120,135,5360,13458,3976,2753,1190,229,120,44,106,379
N08000919,Draperstown,2016,107,102,5,7919,27,24,7809,3032,22343,0,0,125,61,14,44,183
N08000920,Fivemiletown,2016,213,154,59,10108,140,20,9442,18357,7988,68602,80,253,148,55,76,384
N08000921,Glebe (Mid Ulster),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000922,Killyman,2016,91,24,67,2866,75,81,2707,6629,1900,296,139,116,58,25,37,178
N08000923,Killymeal,2016,18,3,14,458,65,3,453,1519,375,0,0,19,6,6,6,31
N08000924,Lissan,2016,194,131,63,6994,80,218,6639,12936,18988,17882,73,231,125,55,89,375
