DEA Code,DEA Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N10001007,THE MOURNES,2016,702,496,206,"21,006",51,"1,244","19,625","30,802","88,061","13,621",240,868,405,191,284,"1,343",585,61,20,36
N10001101,ARDS PENINSULA,2016,355,7,348,"17,257",138,"2,807","14,033","40,437","18,882","14,859",115,460,274,115,305,880,224,43,19,69
N10001102,BANGOR CENTRAL,2016,12,0,12,401,101,57,331,"1,124",375,0,0,14,9,3,10,25,9,0,0,3
N10001103,BANGOR EAST AND DONAGHADEE,2016,39,0,39,"1,980",96,321,"1,472","3,282","2,643",9,0,48,25,12,16,76,23,8,3,5
N10001104,BANGOR WEST,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10001105,COMBER,2016,196,53,143,"8,062",94,"2,049","5,902","12,144","17,365",475,41,251,153,65,168,484,123,29,17,27
N10001106,HOLYWOOD AND CLANDEBOYE,2016,41,3,39,"2,651",115,236,"1,810","4,176",404,16,0,50,26,11,23,84,27,3,5,7
N10001107,NEWTOWNARDS,2016,34,3,33,"2,291",191,"1,139","1,134","3,382","1,472",37,1,43,34,15,40,98,18,3,3,9
N10000101,AIRPORT,2017,288,112,176,"16,349",100,585,"15,489","29,021","25,249","1,424",252,344,212,96,163,603,194,46,15,33
N10000102,ANTRIM,2017,11,5,6,154,107,9,144,264,439,"4,112",0,14,3,3,7,23,9,3,0,3
N10000103,BALLYCLARE,2017,149,71,78,"6,283",94,298,"5,952","13,669","12,450","4,504",90,184,108,47,89,320,103,20,6,20
N10000104,DUNSILLY,2017,410,266,144,"17,144",94,656,"15,985","34,778","38,855","2,505",915,508,304,127,177,812,293,55,23,39
N10000105,GLENGORMLEY URBAN,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000106,MACEDON,2017,5,3,3,97,224,11,85,106,9,0,0,8,3,3,35,44,3,0,0,3
N10000107,THREE MILE WATER,2017,21,17,3,"1,371",166,0,"1,362","2,084","1,139","10,624",0,24,15,7,14,45,16,3,0,3
N10000201,ARMAGH,2017,790,399,391,"22,315",125,"1,009","21,067","57,767","20,607","129,422",1169,954,514,195,756,"1,905",598,99,29,64
N10000202,BANBRIDGE,2017,550,40,510,"21,946",85,"2,656","19,062","43,923","32,970","10,188",139,680,388,170,262,"1,112",396,73,35,46
N10000203,CRAIGAVON,2017,113,60,53,"3,713",81,218,"3,360","8,731","2,276","1,349",76,147,76,25,68,240,84,13,6,10
N10000204,CUSHER,2017,823,508,315,"25,907",88,"1,618","23,789","65,264","36,637","24,846",1225,992,537,207,376,"1,575",624,94,41,64
N10000205,LAGAN RIVER,2017,436,157,279,"15,872",97,"2,048","13,645","37,277","23,087",551,747,551,301,130,215,896,315,56,20,45
N10000206,LURGAN,2017,120,45,75,"4,525",90,242,"4,212","12,611","1,310","3,512",72,140,77,28,63,231,85,14,11,10
N10000207,PORTADOWN,2017,414,171,243,"12,285",101,"1,774","10,284","25,378","9,169","11,285",226,512,278,114,639,"1,265",276,49,30,59
N10000301,BALMORAL,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000302,BLACK MOUNTAIN,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000303,BOTANIC,2017,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000304,CASTLE,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000305,COLLIN,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000306,COURT,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000307,LISNASHARRAGH,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000308,OLDPARK,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000309,ORMISTON,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
